label,iters,totalMs,nsPerOp,opsPerSec,node,platform,commit,timestamp
"new HwAddress(canon48)",200000,1473.022,7365.1,135775,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"new HwAddress(packed48)",200000,1075.311,5376.6,185993,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"new HwAddress(number48, 48)",200000,950.505,4752.5,210414,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"canonicalToPacked(48)",500000,359.354,718.7,1391387,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"packedToCanonical(48)",500000,440.173,880.3,1135918,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"canonToNumeric(48)",500000,629.746,1259.5,793970,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"packedToNumeric(48)",500000,218.11,436.2,2292418,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"format('canonical')",300000,2382.66,7942.2,125910,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"compareTo (a<b)",500000,6015.244,12030.5,83122,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"new HwAddress(canon64)",150000,1226.817,8178.8,122268,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"canonicalToPacked(64)",300000,286.333,954.4,1047731,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
"packedToCanonical(64)",300000,331.777,1105.9,904222,v22.12.0,win32-x64,a35b1ca,2025-10-02T12:11:31.096Z
